"","title","link","price","category","location","upload_time"
"36","  Tömör fenyő íróasztal,számítógép asztal   ","https://www.jofogas.hu/budapest/Tomor_fenyo_iroasztal_szamitogep_asztal_112748171.htm","13 000","Asztalok, székek","     Budapest  , XVII. kerület      ","ma, 10:37"
"37","  Vintage asztal Esküvői dekor dekoráció   ","https://www.jofogas.hu/budapest/Vintage_asztal_Eskuvoi_dekor_dekoracio_112748163.htm","13 000","Asztalok, székek","     Budapest  , X. kerület      ","ma, 10:37"
"38","  Fésülködő asztal piperetükörrel ülőke koloniál   ","https://www.jofogas.hu/vas/Fesulkodo_asztal_piperetukorrel_uloke_kolonial_112747959.htm","24 990","Asztalok, székek","     Vas  , Szombathely      ","ma, 10:32"
"39","  IKEA Björkudden asztal   ","https://www.jofogas.hu/budapest/IKEA_Bjorkudden_asztal_112747958.htm","19 000","Asztalok, székek","     Budapest  , VII. kerület      ","ma, 10:32"
"40","  Ikea asztal 4 db szekkel  elado   ","https://www.jofogas.hu/budapest/Ikea_asztal_4_db_szekkel__elado_112747729.htm","12 000","Asztalok, székek","     Budapest  , VIII. kerület      ","ma, 10:26"
"41","  Fa asztal eladó 65x65 cm   ","https://www.jofogas.hu/budapest/Fa_asztal_elado_65x65_cm_112747506.htm","25 000","Asztalok, székek","     Budapest  , II. kerület      ","ma, 10:18"
"42","  Kültéri asztal és székek    ","https://www.jofogas.hu/komarom_esztergom/Kulteri_asztal_es_szekek__112747323.htm","","Asztalok, székek","     Komárom-Esztergom  , Szomód      ","ma, 10:13"
"43","  Üveges asztal szett (3 darabos)   ","https://www.jofogas.hu/komarom_esztergom/Uveges_asztal_szett__3_darabos__112746877.htm","9 500","Asztalok, székek","     Komárom-Esztergom  , Tatabánya      ","ma, 09:56"
"44","  Tölgyfa szekrénysor + tölgyfa asztal eladó   ","https://www.jofogas.hu/komarom_esztergom/Tolgyfa_szekrenysor___tolgyfa_asztal_elado_112746694.htm","5","Szekrények, szekrénysorok, polcok","     Komárom-Esztergom  , Oroszlány      ","ma, 09:48"
"45","  Gurulós dohanyzó asztal .   ","https://www.jofogas.hu/budapest/Gurulos_dohanyzo_asztal___112746612.htm","2 500","Asztalok, székek","     Budapest  , XIV. kerület      ","ma, 09:45"
"46","  Konyhai asztal reggelíző ebédlő étkező 2 db székkel   ","https://www.jofogas.hu/budapest/Konyhai_asztal_reggelizo_ebedlo_etkezo_2_db_szekkel_112746191.htm","12 000","Asztalok, székek","     Budapest  , II. kerület      ","ma, 09:28"
"47","  Laptop tartó asztal Új bambusz Akcióóóóóóóó   ","https://www.jofogas.hu/gyor_moson_sopron/Laptop_tarto_asztal_Uj_bambusz_Akcioooooooo_112746188.htm","5 990","Asztalok, székek","     Győr-Moson-Sopron  , Sopron      ","ma, 09:28"
"48","  Étkező asztal szett   ","https://www.jofogas.hu/csongrad/Etkezo_asztal_szett_112746073.htm","40 000","Asztalok, székek","     Csongrád  , Szeged      ","ma, 09:22"
"49","  Üveg TV asztal   ","https://www.jofogas.hu/hajdu_bihar/Uveg_TV_asztal_112745419.htm","13 000","Asztalok, székek","     Hajdú-Bihar  , Nyíradony      ","ma, 08:47"
"50","  Ikea étkező garnitúra -barna-fekete (Markör asztal, Katsby szék 8 db)   ","https://www.jofogas.hu/gyor_moson_sopron/Ikea_etkezo_garnitura__barna_fekete__Markor_asztal__Katsby_szek_8_db__112744030.htm","119 999","Asztalok, székek","     Győr-Moson-Sopron  , Győrzámoly      ","ma, 07:26"
"51","  Étkező asztal 5 székkel Kisvárdán   ","https://www.jofogas.hu/szabolcs_szatmar_bereg/Etkezo_asztal_5_szekkel_Kisvardan_112742923.htm","35 000","Asztalok, székek","     Szabolcs-Szatmár-Bereg  , Kisvárda      ","ma, 03:06"
"52","  Kovácsolt jellegű, üveglapos, dohányzó asztal.    ","https://www.jofogas.hu/szabolcs_szatmar_bereg/Kovacsolt_jellegu__uveglapos__dohanyzo_asztal___112742539.htm","14 000","Asztalok, székek","     Szabolcs-Szatmár-Bereg  , Nyírtass      ","ma, 02:25"
"53","  Erős Műanyag Kerti Kör asztal 100 cm Fehér, Grosfillex   ","https://www.jofogas.hu/szabolcs_szatmar_bereg/Eros_Muanyag_Kerti_Kor_asztal_100_cm_Feher__Grosfillex_112742451.htm","7 990","Kerti bútor","     Szabolcs-Szatmár-Bereg  , Nyíregyháza      ","ma, 02:15"
"54","  Tv asztal gurulós üveg ajtós   ","https://www.jofogas.hu/budapest/Tv_asztal_gurulos_uveg_ajtos_112742368.htm","14 990","Szekrények, szekrénysorok, polcok","     Budapest  , XV. kerület      ","ma, 02:03"
"55","  Étkező asztal duplájára nyitható   ","https://www.jofogas.hu/budapest/Etkezo_asztal_duplajara_nyithato_112742333.htm","7 990","Asztalok, székek","     Budapest  , XV. kerület      ","ma, 01:57"
"56","  Étkező asztal ovális   ","https://www.jofogas.hu/budapest/Etkezo_asztal_ovalis_112742274.htm","14 990","Asztalok, székek","     Budapest  , XV. kerület      ","ma, 01:52"
"57","  Antik stílusú íróasztal laptop asztal levélíró asztal   ","https://www.jofogas.hu/budapest/Antik_stilusu_iroasztal_laptop_asztal_leveliro_asztal_112741880.htm","28 000","Asztalok, székek","     Budapest  , III. kerület      ","ma, 01:11"
"58","  70 cm széles sörpad pad asztal   ","https://www.jofogas.hu/pest/70_cm_szeles_sorpad_pad_asztal_112741678.htm","21 000","Kerti bútor","     Pest  , Gyál      ","ma, 00:47"
"59","  Eladó egy Vanessa fenyő Íróasztal RS bútor Bútor szép állapotú, asztal   ","https://www.jofogas.hu/pest/Elado_egy_Vanessa_fenyo_Iroasztal_RS_butor_Butor_szep_allapotu__asztal_112741598.htm","44 900","Asztalok, székek","     Pest  , Szigetszentmiklós      ","ma, 00:39"
"60","  Eladó asztal   ","https://www.jofogas.hu/csongrad/Elado_asztal_112741109.htm","5 000","Asztalok, székek","     Csongrád  , Szeged      ","tegnap, 23:51"
"61","  Fisher Price tanuló asztal   ","https://www.jofogas.hu/gyor_moson_sopron/Fisher_Price_tanulo_asztal_112740914.htm","11 000","Babajáték","     Győr-Moson-Sopron  , Győr      ","tegnap, 23:36"
"62","  Fehér damaszt asztal terítő, abrosz 135*135 cm   ","https://www.jofogas.hu/pest/Feher_damaszt_asztal_terito__abrosz_135_135_cm_112740748.htm","2 500","Lakástextil","     Pest  , Dunakeszi      ","tegnap, 23:24"
"63","  Teázó, kávézó asztal   ","https://www.jofogas.hu/bacs_kiskun/Teazo__kavezo_asztal_112740682.htm","6 500","Asztalok, székek","     Bács-Kiskun  , Baja      ","tegnap, 23:19"
"64","  Gurulós asztal   ","https://www.jofogas.hu/budapest/Gurulos_asztal_112740676.htm","5 000","Asztalok, székek","     Budapest  , VI. kerület      ","tegnap, 23:18"
